forecast_step,state,district,pred_bio,Base_Capacity,Action_Plan
1,Odisha,Debagarh,269.27382280671867,25.081669255820394,🔴 DEPLOY MOBILE VAN
1,West Bengal,North Twenty Four Parganas,237.1420741644415,22.341812230080965,🔴 DEPLOY MOBILE VAN
1,Jharkhand,Purbi Singhbhum,182.3376078731643,17.296397577587936,🔴 DEPLOY MOBILE VAN
1,Tamil Nadu,Chengalpattu,261.0860042828445,25.67381341912276,🔴 DEPLOY MOBILE VAN
1,Punjab,Malerkotla,244.81438406354525,24.12281706919342,🔴 DEPLOY MOBILE VAN
1,Maharashtra,Mumbai( Sub Urban ),252.41300103832756,25.070075983716684,🔴 DEPLOY MOBILE VAN
1,Madhya Pradesh,Narsimhapur,225.91005985056995,22.473453492873638,🔴 DEPLOY MOBILE VAN
1,West Bengal,Bardhaman,333.1531374315598,33.8484861976513,🔴 DEPLOY MOBILE VAN
1,West Bengal,Maldah,328.25314523408724,34.51083671410055,🔴 DEPLOY MOBILE VAN
1,Assam,Sibsagar,316.5467042210417,34.60426583457714,🔴 DEPLOY MOBILE VAN
1,Uttar Pradesh,Ayodhya,207.89468483974863,23.188195272788548,🔴 DEPLOY MOBILE VAN
1,Telangana,Rajanna Sircilla,207.1397163958528,23.486372182371788,🔴 DEPLOY MOBILE VAN
1,Karnataka,Hasan,326.8719712170823,39.74494228263268,🔴 DEPLOY MOBILE VAN
1,Odisha,Jagatsinghpur,291.6588165895096,35.93955862218505,🔴 DEPLOY MOBILE VAN
1,Telangana,Yadadri.,219.41528246426884,27.502662142586814,🔴 DEPLOY MOBILE VAN
1,Jammu and Kashmir,Badgam,345.5006436688967,43.40139730532336,🔴 DEPLOY MOBILE VAN
1,Tripura,Unakoti,360.3000421768529,46.12097696406204,🔴 DEPLOY MOBILE VAN
1,Orissa,Khordha,253.712074754339,32.71926652752414,🔴 DEPLOY MOBILE VAN
1,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,217.90446253134405,28.271200736860308,🔴 DEPLOY MOBILE VAN
1,West Bengal,Purba Bardhaman,165.7806525971194,21.710893404967138,🔴 DEPLOY MOBILE VAN
1,Haryana,Charkhi Dadri,161.8678154653184,21.215311664545823,🔴 DEPLOY MOBILE VAN
1,Maharashtra,Bid,303.5385561739629,39.793450255892736,🔴 DEPLOY MOBILE VAN
1,Punjab,Firozpur,247.0408491748551,33.033478191049035,🔴 DEPLOY MOBILE VAN
1,Puducherry,Karaikal,186.32499036266967,25.000313041207917,🔴 DEPLOY MOBILE VAN
1,Tripura,Khowai,318.62222396897744,43.087049432326644,🔴 DEPLOY MOBILE VAN
1,Jharkhand,Pashchimi Singhbhum,132.02368805680612,17.87338637720333,🔴 DEPLOY MOBILE VAN
1,Assam,Biswanath,158.07728479271134,21.506449219896666,🔴 DEPLOY MOBILE VAN
1,Andhra Pradesh,Tirupati,252.43184147607624,34.415984706930395,🔴 DEPLOY MOBILE VAN
1,Jharkhand,Pakur,344.89819502192347,47.10473273242408,🔴 DEPLOY MOBILE VAN
1,Telangana,Nagarkurnool,248.1006586661076,35.09573796544141,🔴 DEPLOY MOBILE VAN
1,Assam,Hailakandi,513.098044324595,73.0911663003168,🔴 DEPLOY MOBILE VAN
1,West Bengal,Koch Bihar,155.69079971271046,22.583977923551245,🔴 DEPLOY MOBILE VAN
1,Jharkhand,Seraikela-kharsawan,120.71148727728072,17.821966672014998,🔴 DEPLOY MOBILE VAN
1,Mizoram,Lawngtlai,114.54968719678018,17.005121732597246,🔴 DEPLOY MOBILE VAN
1,Jharkhand,Lohardaga,526.7623801270239,78.93419257340241,🔴 DEPLOY MOBILE VAN
1,Karnataka,Kodagu,281.639097485084,42.539990403528556,🔴 DEPLOY MOBILE VAN
1,Andhra Pradesh,Y. S. R,170.6777859609802,26.38131423326,🔴 DEPLOY MOBILE VAN
1,West Bengal,West Midnapore,341.8448032678502,53.356497698238115,🔴 DEPLOY MOBILE VAN
1,Andhra Pradesh,Annamayya,264.6617398294157,41.324680717276564,🔴 DEPLOY MOBILE VAN
1,Madhya Pradesh,Agar Malwa,391.3891423177133,61.76841929087386,🔴 DEPLOY MOBILE VAN
1,Assam,Baksa,359.3118178973112,56.83168541621225,🔴 DEPLOY MOBILE VAN
1,Andhra Pradesh,Kakinada,277.62695658256814,44.062317085601435,🔴 DEPLOY MOBILE VAN
1,Telangana,Jogulamba Gadwal,213.8155127127505,34.67464396357771,🔴 DEPLOY MOBILE VAN
1,Andhra Pradesh,N. T. R,265.6459042992244,43.28906281538772,🔴 DEPLOY MOBILE VAN
1,West Bengal,Alipurduar,100.92556515486118,16.664523392753743,🔴 DEPLOY MOBILE VAN
1,Jammu and Kashmir,Samba,256.492329340969,42.697421693721594,🔴 DEPLOY MOBILE VAN
1,Nagaland,Kohima,137.58945522196274,22.96777192968768,🔴 DEPLOY MOBILE VAN
1,Manipur,Ukhrul,142.22127725422496,23.749438005636655,🔴 DEPLOY MOBILE VAN
1,Gujarat,Botad,298.99886393099337,50.791157187619035,🔴 DEPLOY MOBILE VAN
1,Tripura,Gomati,296.60065333362604,50.69657379730908,🔴 DEPLOY MOBILE VAN
1,Andhra Pradesh,Nizamabad,279.862656508585,47.99637788158124,🔴 DEPLOY MOBILE VAN
1,Assam,Dibrugarh,370.46595632955416,64.70140565525745,🔴 DEPLOY MOBILE VAN
1,Andhra Pradesh,Nandyal,241.6329602358824,42.608930203070884,🔴 DEPLOY MOBILE VAN
1,Manipur,Churachandpur,159.82633450523474,28.56858431388555,🔴 DEPLOY MOBILE VAN
1,Madhya Pradesh,West Nimar,133.20884407146096,23.941125973061588,🔴 DEPLOY MOBILE VAN
1,Telangana,Vikarabad,251.90510919414007,45.844027239498004,🔴 DEPLOY MOBILE VAN
1,Telangana,Mahabubabad,139.29312634154306,26.12696803914499,🔴 DEPLOY MOBILE VAN
1,Jharkhand,Jamtara,502.3336006399874,94.36723363222998,🔴 DEPLOY MOBILE VAN
1,Telangana,Komaram Bheem,125.77291015184784,23.821656583043627,🔴 DEPLOY MOBILE VAN
1,Pondicherry,Pondicherry,468.4518412934698,89.18614338043997,🔴 DEPLOY MOBILE VAN
1,Andhra Pradesh,Sri Sathya Sai,175.4202478363301,33.671549918016105,🔴 DEPLOY MOBILE VAN
1,West Bengal,Haora,406.1731488352653,81.91176443184483,🔴 DEPLOY MOBILE VAN
1,Telangana,Jangoan,130.3345328137511,26.49959689848269,🔴 DEPLOY MOBILE VAN
1,Punjab,Muktsar,131.6542283902292,26.905329982699904,🔴 DEPLOY MOBILE VAN
1,Assam,Jorhat,389.0256037107068,79.69144967964093,🔴 DEPLOY MOBILE VAN
1,Telangana,Warangal Urban,109.7466553830292,22.485373624710093,🔴 DEPLOY MOBILE VAN
1,West Bengal,Darjiling,33.60310991497728,6.9141620770149155,🔴 DEPLOY MOBILE VAN
1,Jharkhand,Hazaribag,51.824599088751775,10.677071822859679,🔴 DEPLOY MOBILE VAN
1,Meghalaya,Ri Bhoi,65.91918706188942,13.766014536739736,🔴 DEPLOY MOBILE VAN
1,Jammu and Kashmir,Ganderbal,410.7608019917643,86.15800708174017,🔴 DEPLOY MOBILE VAN
1,Meghalaya,West Garo Hills,254.461631769606,54.386347560290304,🔴 DEPLOY MOBILE VAN
1,Assam,Nalbari,557.8552220584739,120.18650825572159,🔴 DEPLOY MOBILE VAN
1,Jharkhand,Ramgarh,606.8052567566992,132.20032004106014,🔴 DEPLOY MOBILE VAN
1,Meghalaya,East Khasi Hills,374.47444621669695,82.05894645532996,🔴 DEPLOY MOBILE VAN
