state,district,forecast_step,pred_bio,dist_avg,spike_score,Risk_Level
Andhra Pradesh,Nandyal,3,197.61622726490208,87.88522731162168,2.248571612202793,MEDIUM (Monitor)
West Bengal,Darjeeling,1,1024.7949387542938,456.1719739046559,2.2465100825516413,MEDIUM (Monitor)
Karnataka,Hasan,2,207.44391080610944,92.47473019930773,2.243249700312858,MEDIUM (Monitor)
West Bengal,Alipurduar,2,57.422625093703424,25.671306202766576,2.236840799612878,MEDIUM (Monitor)
Nagaland,Mokokchung,1,44.01768929519885,19.71269676211083,2.2329613155620542,MEDIUM (Monitor)
Dadra and Nagar Haveli,Dadra and Nagar Haveli,1,488.0461327448048,218.5799622402808,2.2328036282132073,MEDIUM (Monitor)
West Bengal,East Midnapore,1,559.2313124883622,250.57717481028223,2.2317727578809565,MEDIUM (Monitor)
Bihar,Jamui,1,2202.8016758452013,987.0699165299924,2.2316571895829513,MEDIUM (Monitor)
Punjab,S.A.S Nagar(Mohali),1,33.67226441804641,15.092898665338886,2.231000496635903,MEDIUM (Monitor)
Orissa,Cuttack,1,51.39487202235491,23.1208447286988,2.2228803759302496,MEDIUM (Monitor)
Bihar,Sheohar,1,901.646881552156,405.6384540722018,2.2227845326312847,MEDIUM (Monitor)
Manipur,Pherzawl,10,2.2618093474234504,1.0179957956897927,2.2218258238393322,MEDIUM (Monitor)
Assam,Cachar,1,1776.794046456499,800.3928098442206,2.2199025585978394,MEDIUM (Monitor)
Himachal Pradesh,Kinnaur,1,42.94875607151097,19.374478960934486,2.216769604907064,MEDIUM (Monitor)
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2,483.14710326708735,218.5799622402808,2.210390642926239,MEDIUM (Monitor)
Rajasthan,Jhunjhunu,1,39.34843384885132,17.809495874405695,2.2094075052062294,MEDIUM (Monitor)
Andhra Pradesh,Nizamabad,2,213.5373964595449,96.82279165309625,2.205445565178726,MEDIUM (Monitor)
Madhya Pradesh,Agar Malwa,2,255.86626857770975,116.12034147723354,2.203457769092719,MEDIUM (Monitor)
Sikkim,Mangan,10,1.5369289744713146,0.6978602753290035,2.2023448372193637,MEDIUM (Monitor)
Assam,Hailakandi,3,346.6714203704365,157.42743205983618,2.2021029996771535,MEDIUM (Monitor)
Odisha,Anugul,1,29.869933770460456,13.568108399330116,2.2014810680562658,MEDIUM (Monitor)
Karnataka,Chamarajanagar,1,32.64606016912473,14.843354251040623,2.1993721646059896,MEDIUM (Monitor)
Nagaland,Wokha,1,35.00825400284322,15.92137200978675,2.1988214320552215,MEDIUM (Monitor)
Punjab,Sangrur,1,2163.1575935331657,983.8574741169524,2.1986493475334705,MEDIUM (Monitor)
Assam,Dhubri,1,1476.6388717038517,672.431150528094,2.1959703540565796,MEDIUM (Monitor)
Meghalaya,Ri Bhoi,2,49.40123105034018,22.518829855506485,2.1937743376243946,MEDIUM (Monitor)
Karnataka,Bagalkot *,1,34.40693802759041,15.690162749675928,2.19289873384526,MEDIUM (Monitor)
Tripura,Gomati,2,217.8769372797267,99.37458653569013,2.1924814469691074,MEDIUM (Monitor)
Assam,Dibrugarh,2,247.10454620386355,112.72134495234447,2.1921717338302935,MEDIUM (Monitor)
Goa,Bardez,12,6.240588970944319,2.847362999348688,2.19170824807789,MEDIUM (Monitor)
Jharkhand,Purbi Singhbhum,2,86.1663757591638,39.3218372948325,2.1913110293675775,MEDIUM (Monitor)
Punjab,Jalandhar,1,3341.7034812236543,1531.3876859640134,2.182140754984615,MEDIUM (Monitor)
Odisha,Sundargarh,2,290.79167353335487,133.26445465432218,2.1820647845492354,MEDIUM (Monitor)
Andaman and Nicobar Islands,North And Middle Andaman,1,37.90596634545023,17.3815885284487,2.180811396116585,MEDIUM (Monitor)
Madhya Pradesh,Dewas,1,2908.844300037953,1339.1571967168572,2.172145515977823,MEDIUM (Monitor)
Bihar,Bhojpur,1,2299.7818728520047,1059.3747014655946,2.1708861554560115,MEDIUM (Monitor)
Karnataka,Chikkamagaluru,2,333.4047529031316,153.80407510254923,2.1677237919790695,MEDIUM (Monitor)
Bihar,Nawada,1,1981.2631692923344,914.644059407834,2.166157587657716,MEDIUM (Monitor)
Andhra Pradesh,Sri Potti Sriramulu Nellore,2,249.6362965598424,115.2928654711858,2.1652362922858566,MEDIUM (Monitor)
Jharkhand,Seraikela-Kharsawan,1,801.1203316860814,370.1741396729756,2.1641715231480467,MEDIUM (Monitor)
Bihar,Khagaria,1,1979.80284112404,914.8913169929557,2.1639759874770825,MEDIUM (Monitor)
Assam,Lakhimpur,1,1088.8969707542606,503.2036868230293,2.163928840881511,MEDIUM (Monitor)
Assam,Nagaon,1,3461.188055243258,1599.880472093492,2.1634041515077613,MEDIUM (Monitor)
Bihar,Begusarai,1,2938.092114565276,1361.356190622386,2.1582096844339,MEDIUM (Monitor)
Odisha,Boudh,1,482.1030777727984,223.3855574384049,2.158165833553187,MEDIUM (Monitor)
West Bengal,Hooghly,1,2362.2788275181674,1095.570786746999,2.1562083035568294,MEDIUM (Monitor)
Nagaland,Dimapur,2,694.4751201605692,322.56106422577045,2.1530035617519063,MEDIUM (Monitor)
Bihar,Rohtas,1,2402.664211173417,1116.3119385017642,2.1523233142145775,MEDIUM (Monitor)
Maharashtra,Chandrapur,2,7012.286263330496,3263.086524782438,2.148973436675275,MEDIUM (Monitor)
Bihar,Araria,1,2910.8825856797703,1356.718410930647,2.1455318673556123,MEDIUM (Monitor)
Jharkhand,Khunti,2,460.2403935400061,214.6434187624628,2.144209201444632,MEDIUM (Monitor)
Odisha,Sonapur,1,434.3288214070343,202.61500066292635,2.1436163165904527,MEDIUM (Monitor)
Haryana,Fatehabad,1,1916.60327012034,895.6316426521149,2.139945909509134,MEDIUM (Monitor)
Jharkhand,Dhanbad,1,1537.8306293837802,718.6697219725694,2.1398294409326417,MEDIUM (Monitor)
Telangana,Jagitial,2,282.6025519548205,132.085349171734,2.1395450269612253,MEDIUM (Monitor)
Tamil Nadu,Sivaganga,1,3100.9314399903374,1449.5448237263088,2.1392449472647903,MEDIUM (Monitor)
Bihar,Bhagalpur,1,2826.564537348748,1321.3099668741725,2.139213816751539,MEDIUM (Monitor)
Punjab,Pathankot,1,774.2860422261535,362.0403797914037,2.138673157597152,MEDIUM (Monitor)
Bihar,Madhepura,1,2537.5034454538027,1186.7601549475219,2.1381771496752098,MEDIUM (Monitor)
Rajasthan,Hanumangarh,1,2920.5777682640787,1366.9923785677158,2.136498940340949,MEDIUM (Monitor)
Uttar Pradesh,Raebareli,11,4.160974043868869,1.9502841541745382,2.1335219460007404,MEDIUM (Monitor)
Assam,Nalbari,3,379.7617765902134,178.28618260776975,2.130068472135559,MEDIUM (Monitor)
Himachal Pradesh,Kangra,1,2964.661355998596,1392.6697716179171,2.1287611869068117,MEDIUM (Monitor)
Delhi,New Delhi,1,45.63509908463431,21.514972780300194,2.121085606318744,MEDIUM (Monitor)
Bihar,Nalanda,1,2501.7332117425944,1180.2635276686883,2.1196395153242893,MEDIUM (Monitor)
Nagaland,Mon,2,48.11145318950509,22.704023580301122,2.1190716711221365,MEDIUM (Monitor)
Madhya Pradesh,Harda *,2,62.31850692521704,29.415648852727724,2.1185494577128194,MEDIUM (Monitor)
Telangana,Warangal (urban),10,2.697095316033965,1.2751527278474633,2.1151155129368924,MEDIUM (Monitor)
Bihar,Arwal,1,718.3347692477842,339.64743659920583,2.1149424133456387,MEDIUM (Monitor)
Karnataka,Gadag *,1,17.848178637300897,8.444795399625066,2.113512263197439,MEDIUM (Monitor)
Andhra Pradesh,Annamayya,3,189.5073820970266,89.72183688698863,2.112165651888351,MEDIUM (Monitor)
Telangana,Warangal Urban,2,67.46677236721256,31.976654709619833,2.109875876006376,MEDIUM (Monitor)
Telangana,Nirmal,3,346.5136057472361,164.2620050616632,2.1095176916728646,MEDIUM (Monitor)
Assam,Jorhat,2,265.9566884741042,126.13407567060551,2.1085237043211094,MEDIUM (Monitor)
Madhya Pradesh,Agar Malwa,3,244.83895352958436,116.12034147723354,2.1084932270681214,MEDIUM (Monitor)
Jammu and Kashmir,Bandipore,2,421.5382082916757,199.95936168474805,2.1081193935608997,MEDIUM (Monitor)
Sikkim,East,1,24.547417320850823,11.646974517122485,2.107621793519261,MEDIUM (Monitor)
Assam,Kamrup Metro,3,407.5326303893767,193.39185827658704,2.107289489956334,MEDIUM (Monitor)
Gujarat,The Dangs,2,385.7988002012045,183.13011816420135,2.106692247395826,MEDIUM (Monitor)
Andhra Pradesh,Nizamabad,3,203.73431616913007,96.82279165309625,2.1041979134322446,MEDIUM (Monitor)
Haryana,Mahendragarh,1,1536.6805730190504,731.0089313187409,2.10213652280127,MEDIUM (Monitor)
West Bengal,Kolkata,1,1895.0206372765776,901.4793032080252,2.102123288391551,MEDIUM (Monitor)
Jharkhand,Pakaur,1,13.173791890380675,6.2697083937994345,2.1011809581780847,MEDIUM (Monitor)
Jammu and Kashmir,Jammu,1,2900.1648615278345,1381.664102781123,2.0990375704848616,MEDIUM (Monitor)
Maharashtra,Chandrapur,1,6841.818307113996,3263.086524782438,2.09673211395158,MEDIUM (Monitor)
West Bengal,Jalpaiguri,1,1639.23791436113,782.3061456699787,2.095391840437687,MEDIUM (Monitor)
Andhra Pradesh,Sri Potti Sriramulu Nellore,3,241.0683605640004,115.2928654711858,2.0909217546010996,MEDIUM (Monitor)
Andhra Pradesh,Kakinada,3,200.82660693763748,96.29593993951293,2.0855147897594035,MEDIUM (Monitor)
Telangana,Nirmal,2,342.531202700915,164.2620050616632,2.085273478625385,MEDIUM (Monitor)
Karnataka,Vijayanagara,2,67.45262814428364,32.367227005946084,2.0839792093370284,MEDIUM (Monitor)
Bihar,Saharsa,1,2501.7332117425944,1200.5591357632547,2.083806734061558,MEDIUM (Monitor)
Madhya Pradesh,Betul,1,3222.214402285155,1547.4978583732454,2.08220928051713,MEDIUM (Monitor)
Haryana,Karnal,1,2523.839428521336,1212.4775511433295,2.0815555934552616,MEDIUM (Monitor)
Karnataka,Hasan,3,192.32940235516384,92.47473019930773,2.079804957966816,MEDIUM (Monitor)
Karnataka,Chamarajanagar *,11,7.374237601783375,3.5505407665315634,2.076933652274915,MEDIUM (Monitor)
Nagaland,Peren,1,21.48806259214217,10.346134276779736,2.0769170414082807,MEDIUM (Monitor)
Haryana,Ambala,1,1732.0255304274492,834.1143444268574,2.076484527571062,MEDIUM (Monitor)
West Bengal,Birbhum,1,2325.5308071428294,1120.7738867643257,2.074933074910085,MEDIUM (Monitor)
Rajasthan,Chittaurgarh,1,30.286509652717108,14.60678915170419,2.073454291573966,MEDIUM (Monitor)
West Bengal,Bankura,1,2249.6023519413848,1085.28705576198,2.072817822711374,MEDIUM (Monitor)
Kerala,Ernakulam,1,3106.535810072758,1499.88170930439,2.071187208165567,MEDIUM (Monitor)
Telangana,Mancherial,2,381.9327690647449,184.50678252233413,2.070020211958944,MEDIUM (Monitor)
Bihar,West Champaran,1,3689.517041301157,1782.3824446897231,2.0699917979406646,MEDIUM (Monitor)
Jammu and Kashmir,Srinagar,1,2256.7928401629524,1090.3642476491002,2.0697604906147204,MEDIUM (Monitor)
Manipur,Tamenglong,1,49.47180599046055,23.904672723073688,2.0695454216659703,MEDIUM (Monitor)
West Bengal,Nadia,1,2303.2322942574306,1113.007423225151,2.0693772981166436,MEDIUM (Monitor)
Bihar,Purnea,1,43.61286358725715,21.07933071402525,2.068987112491152,MEDIUM (Monitor)
Telangana,Wanaparthy,2,76.19912405324116,36.86041835728715,2.0672343790199252,MEDIUM (Monitor)
Punjab,Patiala,1,2946.9243321342483,1431.2227592346735,2.0590256220562586,MEDIUM (Monitor)
Haryana,Kurukshetra,1,1564.4235080821195,759.9703139782256,2.0585323917362155,MEDIUM (Monitor)
Chhattisgarh,Mahasamund,2,5398.428138034807,2624.5096949297963,2.0569282515754663,MEDIUM (Monitor)
Rajasthan,Baran,1,2793.9184182453923,1359.445710272479,2.055189403396916,MEDIUM (Monitor)
Madhya Pradesh,Anuppur,1,1343.1068756536397,653.948110392932,2.0538431938378396,MEDIUM (Monitor)
Gujarat,Junagadh,1,3100.467826977697,1509.681544963043,2.05372307644762,MEDIUM (Monitor)
Assam,Golaghat,1,692.4426957051228,337.1893585086549,2.0535722087070236,MEDIUM (Monitor)
Maharashtra,Gadchiroli,1,4853.713043597599,2364.5839307995457,2.052671076875835,MEDIUM (Monitor)
Uttarakhand,Almora,1,1603.4455636119571,781.2017352313723,2.052537124916981,MEDIUM (Monitor)
West Bengal,Dakshin Dinajpur,1,846.1499515897904,413.17811520540977,2.0479060251512364,MEDIUM (Monitor)
Telangana,Warangal (urban),11,2.6103650988462173,1.2751527278474633,2.0470999605299633,MEDIUM (Monitor)
Goa,South Goa,1,759.7949396826873,371.3699261234547,2.045924794217473,MEDIUM (Monitor)
Tamil Nadu,Ramanathapuram,1,3238.4754738415363,1583.1619361724054,2.045574365987579,MEDIUM (Monitor)
Jharkhand,Palamu,2,1179.5860848075745,576.7223132177229,2.045327634761133,MEDIUM (Monitor)
West Bengal,Maldah,3,181.69198001629988,88.84632972761301,2.045013908546758,MEDIUM (Monitor)
Andhra Pradesh,N. T. R,3,192.9259713760483,94.41173802741007,2.0434532337497813,MEDIUM (Monitor)
Tamil Nadu,Thiruvarur,1,3302.482747668012,1619.0871352887423,2.0397189723078486,MEDIUM (Monitor)
Arunachal Pradesh,Lohit,1,42.30569724103199,20.74476559074375,2.039343228824367,MEDIUM (Monitor)
West Bengal,West Midnapore,3,204.80824731318333,100.4418687570543,2.039072449045798,MEDIUM (Monitor)
Nagaland,Kiphire,1,20.160179679724067,9.888317453660344,2.038787667790884,MEDIUM (Monitor)
Punjab,Hoshiarpur,1,2160.7810399690334,1059.8891725479018,2.038685832382514,MEDIUM (Monitor)
Pondicherry,Pondicherry,3,345.1269048578945,169.30122247968106,2.038537582912701,MEDIUM (Monitor)
Rajasthan,Bundi,1,1799.6704797325897,883.3012853791224,2.0374367268809666,MEDIUM (Monitor)
West Bengal,Kalimpong,1,14.071985491089556,6.9109350550839475,2.036191250377569,MEDIUM (Monitor)
Telangana,Jangoan,2,76.49325383472086,37.58418753749809,2.0352509618148016,MEDIUM (Monitor)
Odisha,JAJPUR,1,743.253291575058,365.25201632534237,2.0349053758898816,MEDIUM (Monitor)
Haryana,Rohtak,1,1900.235005513493,933.827575227875,2.034888512528443,MEDIUM (Monitor)
Jammu and Kashmir,Shupiyan,2,241.5968732390043,118.79800615826609,2.033677845713522,MEDIUM (Monitor)
Telangana,Vikarabad,3,174.10047478195085,85.70868076137798,2.031305035095161,MEDIUM (Monitor)
Bihar,Aurangabad(BH),11,4.316767805912271,2.1268511331921247,2.029652070398255,MEDIUM (Monitor)
Bihar,Gopalganj,1,2321.5868084522717,1144.0999025190213,2.0291818951655527,MEDIUM (Monitor)
Haryana,Hisar,1,2819.0199127267124,1389.5711013820928,2.0286978549876746,MEDIUM (Monitor)
West Bengal,South Twenty Four Parganas,2,482.6586560603451,237.93900093886342,2.028497447479661,MEDIUM (Monitor)
Assam,Baksa,3,234.4128110195304,115.58701301999018,2.028020319021393,MEDIUM (Monitor)
Uttar Pradesh,Farrukhabad,1,2921.865971770428,1441.5206744185414,2.0269331017045635,MEDIUM (Monitor)
Rajasthan,Jalore,12,5.543140745752268,2.7356866798664767,2.0262337739725433,MEDIUM (Monitor)
Karnataka,Bengaluru Rural,11,2.1750617315381464,1.0734714759199329,2.0261942495250596,MEDIUM (Monitor)
Madhya Pradesh,Niwari,1,19.24889078255943,9.503214360818788,2.025513689549245,MEDIUM (Monitor)
Madhya Pradesh,Balaghat,1,3661.288065698992,1809.7817261644439,2.023055052864598,MEDIUM (Monitor)
Andhra Pradesh,Anakapalli,2,57.88556829140889,28.614853145735594,2.0229203342962268,MEDIUM (Monitor)
Uttar Pradesh,Mahrajganj,12,5.92075358350456,2.926908871455049,2.0228691235478014,MEDIUM (Monitor)
Assam,Tinsukia,2,402.0597117660624,198.76762085532405,2.0227626111131425,MEDIUM (Monitor)
West Bengal,Bardhaman,3,188.2463622212208,93.10820535581523,2.021802068913613,MEDIUM (Monitor)
Maharashtra,Ratnagiri,1,5020.078388196436,2483.3501445351963,2.0214943910521463,MEDIUM (Monitor)
Tamil Nadu,Nagapattinam,1,3124.1424756438373,1546.8241577912752,2.0197140443583645,MEDIUM (Monitor)
Andhra Pradesh,Vizianagaram,2,5507.8152897500095,2731.7306930415866,2.016236557937361,MEDIUM (Monitor)
Kerala,Kottayam,1,1833.69559227615,909.7049914815543,2.0157035626349327,MEDIUM (Monitor)
Uttar Pradesh,Amroha,1,2948.1324270623186,1463.5612284096942,2.014355374981995,MEDIUM (Monitor)
Chhattisgarh,Kabeerdham,1,2654.0614294351208,1317.637496846249,2.0142576663062397,MEDIUM (Monitor)
